"ID","Lake","Lake_type","ID_Art","Order","Suborder","Taxon_agg","Taxon","BD","ship_EM","ship_DM","ship_DM_I","DM_all","AFDM_all","LOM","ind_1","ind_2","ind_3","ind_4","ind_5","ind_6","ind_7","ind_8","ind_9","ind_10","ind_11","ind_12","ind_13","ind_14","ind_15","ind_16","no_ind","length_ind","M_ind","M_type"
1162,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.29,34.73,34.55,1.44,0.18,0.03,1.76,1.79,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.77,0.05,"AFDM"
1163,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",32.04,32.66,32.56,0.62,0.1,0.03,1.21,1.22,1.23,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.23,0.02,"AFDM"
1164,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.47,33.66,33.59,0.19,0.07,0.03,1.11,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.13,0.02,"AFDM"
1165,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",31.33,31.46,31.41,0.13,0.05,0.03,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.07,0.02,"AFDM"
1166,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",34.02,35.38,35.18,1.36,0.2,0.03,1.82,1.83,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.82,0.06,"AFDM"
1167,"Schulzensee","Shallow lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",115.6,116.47,116.37,0.87,0.1,0.03,0.95,0.96,0.99,1.01,1.02,1.03,1.04,1.05,1.05,1.06,1.06,1.06,1.08,1.09,NA,NA,14,1.03,0.01,"AFDM"
1168,"Schulzensee","Shallow lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",132.19,132.77,132.65,0.58,0.12,0.03,1.15,1.19,1.19,1.19,1.2,1.22,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1.2,0.01,"AFDM"
1169,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.66,34.18,34.09,0.52,0.09,0.03,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.9,0.06,"AFDM"
1170,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",32.81,34.51,34.3,1.7,0.21,0.03,1.98,1.96,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.97,0.06,"AFDM"
1171,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",31.41,33.31,33.07,1.9,0.24,0.03,2.05,2.03,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.05,0.07,"AFDM"
1172,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",31.27,31.94,31.84,0.67,0.1,0.03,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.17,0.07,"AFDM"
1173,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",76.47,77.12,77,0.65,0.12,0.02,1.12,1.17,1.13,1.19,1.15,1.16,1.18,1.12,NA,NA,NA,NA,NA,NA,NA,NA,8,1.15,0.01,"AFDM"
1174,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",36.27,36.82,36.67,0.55,0.15,0.02,1.08,1.09,1.02,1.09,1.04,1.04,1.03,1.04,1.07,NA,NA,NA,NA,NA,NA,NA,9,1.06,0.01,"AFDM"
1175,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",32.66,33.38,33.3,0.72,0.08,0.03,1.39,1.36,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.37,0.02,"AFDM"
1176,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.04,34.32,34.14,1.28,0.18,0.03,2.04,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.05,0.08,"AFDM"
1177,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33,33.88,33.77,0.88,0.11,0.03,1.87,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.87,0.04,"AFDM"
1178,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",34.03,34.24,34.17,0.21,0.07,0.03,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.38,0.04,"AFDM"
1179,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",27.05,27.76,27.61,0.71,0.15,0.02,1.23,1.26,1.21,1.24,1.22,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.24,0.02,"AFDM"
1180,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",32.57,33.18,33,0.61,0.18,0.02,1.1,1.11,1.1,1.12,1.17,1.12,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1.13,0.02,"AFDM"
1181,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",37,37.68,37.52,0.68,0.16,0.02,1.28,1.29,1.21,1.22,1.21,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.24,0.02,"AFDM"
1182,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",32.88,33.37,33.29,0.49,0.08,0.03,1.48,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.48,0.02,"AFDM"
1183,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.29,33.85,33.73,0.56,0.12,0.03,1.34,1.35,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.34,0.03,"AFDM"
1184,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.53,34.26,34.14,0.73,0.12,0.03,1.67,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.67,0.05,"AFDM"
1185,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.67,34.98,34.81,1.31,0.17,0.03,1.72,1.74,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.72,0.05,"AFDM"
1186,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",34.21,35.2,35.03,0.99,0.17,0.03,1.64,1.6,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.62,0.05,"AFDM"
1187,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.01,34.25,34.07,1.24,0.18,0.03,2,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.02,0.07,"AFDM"
1188,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.67,34.75,34.57,1.08,0.18,0.03,1.92,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.93,0.08,"AFDM"
1189,"Schulzensee","Shallow lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",98.61,101.95,101.36,3.34,0.59,0.03,1.85,1.86,1.87,1.9,1.92,1.93,1.93,1.94,NA,NA,NA,NA,NA,NA,NA,NA,8,1.9,0.07,"AFDM"
1190,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.41,35.05,34.79,1.64,0.26,0.03,1.95,1.95,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.95,0.08,"AFDM"
1191,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.53,34.58,34.39,1.05,0.19,0.03,1.95,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.95,0.08,"AFDM"
1192,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.12,34.32,34.17,1.2,0.15,0.03,1.67,1.67,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.68,0.04,"AFDM"
1193,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",37.9,38.54,38.35,0.64,0.19,0.02,1.31,1.36,1.31,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.34,0.04,"AFDM"
1194,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",32.75,34.12,33.96,1.37,0.16,0.03,1.73,1.75,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.74,0.04,"AFDM"
1195,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",32.38,33.69,33.53,1.31,0.16,0.03,1.81,1.79,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.81,0.04,"AFDM"
1196,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",32.7,33.6,33.48,0.9,0.12,0.03,1.82,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.82,0.04,"AFDM"
1197,"Schulzensee","Shallow lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",83.61,85.47,85.13,1.86,0.34,0.03,1.45,1.47,1.48,1.49,1.5,1.5,1.51,1.53,1.53,1.53,NA,NA,NA,NA,NA,NA,10,1.5,0.03,"AFDM"
1198,"Schulzensee","Shallow lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",95.15,96.15,96.02,1,0.13,0.03,1.63,1.64,1.64,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.64,0.03,"AFDM"
1199,"Schulzensee","Shallow lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",87.81,88.95,88.71,1.14,0.24,0.03,1.66,1.69,1.71,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.69,0.05,"AFDM"
1200,"Schulzensee","Shallow lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",94.78,96.43,96.17,1.65,0.26,0.03,2.15,2.15,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.16,0.08,"AFDM"
1201,"Schulzensee","Shallow lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",88.43,90.18,89.92,1.75,0.26,0.03,1.75,1.75,1.76,1.76,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.76,0.05,"AFDM"
1202,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.03,34.54,34.29,1.51,0.25,0.03,2.21,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.21,0.11,"AFDM"
1203,"Schulzensee","Shallow lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",97.58,99.28,99.01,1.7,0.27,0.03,2.07,2.11,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.1,0.08,"AFDM"
1204,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",40.23,40.74,40.59,0.51,0.15,0.02,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.25,0.13,"AFDM"
1205,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.3,33.98,33.86,0.68,0.12,0.03,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.12,0.09,"AFDM"
1206,"Schulzensee","Shallow lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",126.48,132.24,131.34,5.76,0.9,0.03,2.25,2.25,2.27,2.27,2.31,2.32,2.34,2.34,NA,NA,NA,NA,NA,NA,NA,NA,8,2.29,0.11,"AFDM"
1207,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.68,34.7,34.56,1.02,0.14,0.03,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.24,0.11,"AFDM"
1208,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",33.36,34.6,34.43,1.24,0.17,0.03,1.68,1.67,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.68,0.05,"AFDM"
1209,"Schulzensee","Shallow lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",111.44,112.55,112.4,1.11,0.15,0.03,1.25,1.25,1.27,1.29,1.29,1.31,1.31,1.32,1.33,1.39,NA,NA,NA,NA,NA,NA,10,1.3,0.01,"AFDM"
1210,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",32.61,33.42,33.23,0.81,0.19,0.02,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.44,0.17,"AFDM"
1211,"Schulzensee","Shallow lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",85.22,88.25,87.75,3.03,0.5,0.03,2.56,2.58,2.6,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.6,0.12,"AFDM"
1212,"Schulzensee","Shallow lake",5356,"Gastropoda","Gastropoda","Gyraulus crista","Gyraulus crista","SW",87.63,89.52,89.16,1.89,0.36,0.03,2.77,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.8,0.17,"AFDM"
1213,"Schulzensee","Shallow lake",5354,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus albus","SW",116.26,126.23,124.67,9.97,1.56,0.03,4.75,5.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.91,0.77,"AFDM"
1214,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",33.27,34.2,34.06,0.93,0.14,0.03,1.5,1.53,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.52,0.04,"AFDM"
1215,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",32.66,33.38,33.3,0.72,0.08,0.03,1.39,1.36,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.37,0.02,"AFDM"
1216,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",32.04,32.66,32.56,0.62,0.1,0.03,1.21,1.22,1.23,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.23,0.02,"AFDM"
1217,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",34.03,34.24,34.17,0.21,0.07,0.03,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.38,0.04,"AFDM"
1218,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",36.27,36.82,36.67,0.55,0.15,0.02,1.08,1.09,1.02,1.09,1.04,1.04,1.03,1.04,1.07,NA,NA,NA,NA,NA,NA,NA,9,1.06,0.01,"AFDM"
1219,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",31.33,31.46,31.41,0.13,0.05,0.03,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.07,0.02,"AFDM"
1220,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",33,33.88,33.77,0.88,0.11,0.03,1.87,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.87,0.04,"AFDM"
1221,"Scharmützelsee","Deep dimictic lake",5354,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus albus","SW",32.71,34.09,33.89,1.38,0.2,0.03,1.42,1.4,1.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.41,0.04,"AFDM"
1222,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",33.47,33.66,33.59,0.19,0.07,0.03,1.11,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.13,0.02,"AFDM"
1223,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",76.47,77.12,77,0.65,0.12,0.02,1.12,1.17,1.13,1.19,1.15,1.16,1.18,1.12,NA,NA,NA,NA,NA,NA,NA,NA,8,1.15,0.01,"AFDM"
1224,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",33.22,34.64,34.46,1.42,0.18,0.03,1.78,1.78,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.78,0.05,"AFDM"
1225,"Scharmützelsee","Deep dimictic lake",5354,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus albus","SW",30.04,31.26,31.05,1.22,0.21,0.11,1.22,1.25,1.27,1.23,1.29,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.24,0.02,"AFDM"
1226,"Scharmützelsee","Deep dimictic lake",5354,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus albus","SW",33.62,34.75,34.56,1.13,0.19,0.03,1.46,1.43,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.44,0.05,"AFDM"
1227,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",31.49,32.2,32.07,0.71,0.13,0.03,1.4,1.44,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.43,0.03,"AFDM"
1228,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",32.75,33.63,33.5,0.88,0.13,0.03,1.57,1.56,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.57,0.03,"AFDM"
1229,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",40.89,41.62,41.43,0.73,0.19,0.02,1.37,1.36,1.31,1.33,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.34,0.03,"AFDM"
1230,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",33.01,34.25,34.07,1.24,0.18,0.03,2,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.02,0.07,"AFDM"
1231,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",33.67,34.75,34.57,1.08,0.18,0.03,1.92,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.93,0.08,"AFDM"
1232,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",33.12,34.32,34.17,1.2,0.15,0.03,1.67,1.67,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.68,0.04,"AFDM"
1233,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",37.9,38.54,38.35,0.64,0.19,0.02,1.31,1.36,1.31,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.34,0.04,"AFDM"
1234,"Scharmützelsee","Deep dimictic lake",5354,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus albus","SW",31.97,32.09,32.03,0.12,0.06,0.03,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.01,0.03,"AFDM"
1235,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",33.29,33.85,33.73,0.56,0.12,0.03,1.34,1.35,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.34,0.03,"AFDM"
1236,"Scharmützelsee","Deep dimictic lake",5354,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus albus","SW",34.31,34.64,34.55,0.33,0.09,0.03,1.16,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.18,0.03,"AFDM"
1237,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",32.87,33.46,33.37,0.59,0.09,0.03,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.5,0.03,"AFDM"
1238,"Scharmützelsee","Deep dimictic lake",5354,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus albus","SW",31.62,33.57,33.33,1.95,0.24,0.03,1.58,1.59,1.56,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.58,0.05,"AFDM"
1239,"Scharmützelsee","Deep dimictic lake",5354,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus albus","SW",32.04,35.46,34.9,3.42,0.56,0.11,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.83,0.45,"AFDM"
1240,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",32.72,34.22,34.03,1.5,0.19,0.03,1.93,1.9,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.92,0.05,"AFDM"
1241,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",34.02,35.38,35.18,1.36,0.2,0.03,1.82,1.83,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.82,0.06,"AFDM"
1242,"Scharmützelsee","Deep dimictic lake",5354,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus albus","SW",32.67,34.21,34,1.54,0.21,0.03,1.73,1.7,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.71,0.06,"AFDM"
1243,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",27.05,27.76,27.61,0.71,0.15,0.02,1.23,1.26,1.21,1.24,1.22,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.24,0.02,"AFDM"
1244,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",32.57,33.18,33,0.61,0.18,0.02,1.1,1.11,1.1,1.12,1.17,1.12,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1.13,0.02,"AFDM"
1245,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",37,37.68,37.52,0.68,0.16,0.02,1.28,1.29,1.21,1.22,1.21,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.24,0.02,"AFDM"
1246,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",32.88,33.37,33.29,0.49,0.08,0.03,1.48,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.48,0.02,"AFDM"
1247,"Scharmützelsee","Deep dimictic lake",5356,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus crista","SW",33.41,35.05,34.79,1.64,0.26,0.03,1.95,1.95,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.95,0.08,"AFDM"
1248,"Scharmützelsee","Deep dimictic lake",5354,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus albus","SW",33.41,35.42,35.16,2.01,0.26,0.03,1.79,1.76,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.78,0.08,"AFDM"
1249,"Scharmützelsee","Deep dimictic lake",5354,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus albus","SW",33.06,34.89,34.62,1.83,0.27,0.03,1.83,1.81,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.82,0.08,"AFDM"
1250,"Scharmützelsee","Deep dimictic lake",5354,"Gastropoda","Gastropoda","Gyraulus sp.","Gyraulus albus","SW",32.71,34.27,34.07,1.56,0.2,0.03,1.45,1.49,1.5,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.48,0.04,"AFDM"
